iter	Passed	Remaining
0	17	8501
1	24	6161
2	28	4751
3	33	4160
4	43	4264
5	47	3919
6	52	3685
7	58	3587
8	64	3537
9	70	3450
10	74	3301
11	82	3339
12	86	3239
13	90	3145
14	102	3302
15	111	3376
16	117	3326
17	122	3276
18	127	3231
19	132	3188
20	137	3139
21	142	3088
22	147	3060
23	154	3058
24	159	3026
25	164	2990
26	168	2955
27	174	2935
28	178	2900
29	183	2871
30	187	2843
31	193	2827
32	198	2810
33	203	2789
34	209	2780
35	214	2761
36	219	2744
37	224	2723
38	225	2669
39	228	2623
40	233	2612
41	236	2582
42	241	2564
43	244	2535
44	249	2524
45	256	2528
46	261	2518
47	266	2511
48	272	2509
49	277	2497
50	283	2495
51	285	2463
52	290	2451
53	297	2453
54	301	2439
55	305	2422
56	310	2413
57	312	2380
58	317	2370
59	319	2343
60	323	2331
61	328	2323
62	334	2322
63	339	2314
64	345	2310
65	353	2324
66	357	2308
67	362	2302
68	367	2297
69	372	2290
70	377	2279
71	381	2268
72	386	2263
73	391	2255
74	396	2244
75	401	2239
76	406	2234
77	411	2226
78	416	2221
79	420	2208
80	425	2202
81	432	2204
82	438	2203
83	444	2202
84	448	2188
85	453	2182
86	461	2188
87	467	2187
88	472	2181
89	479	2182
90	484	2177
91	490	2176
92	494	2166
93	500	2160
94	506	2158
95	512	2158
96	518	2155
97	523	2148
98	528	2142
99	533	2134
100	538	2128
101	543	2121
102	548	2115
103	555	2115
104	560	2110
105	566	2104
106	571	2098
107	576	2092
108	581	2087
109	589	2090
110	597	2094
111	605	2097
112	617	2115
113	625	2116
114	634	2124
115	643	2129
116	651	2132
117	658	2133
118	667	2138
119	675	2139
120	683	2141
121	690	2139
122	697	2137
123	707	2145
124	716	2148
125	726	2156
126	738	2169
127	748	2175
128	757	2177
129	766	2180
130	775	2183
131	784	2187
132	793	2190
133	803	2193
134	812	2195
135	820	2197
136	828	2195
137	835	2192
138	843	2191
139	850	2187
140	858	2186
141	866	2185
142	876	2187
143	886	2190
144	894	2189
145	902	2188
146	912	2191
147	922	2194
148	934	2200
149	944	2204
150	954	2206
151	962	2203
152	971	2203
153	980	2202
154	987	2198
155	997	2199
156	1006	2198
157	1014	2196
158	1023	2194
159	1032	2193
160	1040	2191
161	1048	2187
162	1057	2185
163	1065	2182
164	1071	2174
165	1076	2166
166	1080	2155
167	1086	2146
168	1092	2139
169	1098	2132
170	1103	2122
171	1108	2113
172	1113	2104
173	1118	2095
174	1124	2088
175	1130	2080
176	1135	2072
177	1141	2064
178	1146	2055
179	1151	2046
180	1156	2039
181	1162	2030
182	1168	2023
183	1174	2017
184	1179	2007
185	1184	1999
186	1190	1992
187	1210	2008
188	1217	2003
189	1225	1998
190	1232	1993
191	1240	1989
192	1249	1987
193	1259	1986
194	1268	1983
195	1275	1977
196	1279	1968
197	1284	1958
198	1292	1954
199	1297	1946
200	1301	1936
201	1307	1929
202	1316	1926
203	1323	1920
204	1331	1916
205	1336	1908
206	1341	1898
207	1347	1891
208	1353	1883
209	1358	1876
210	1368	1874
211	1373	1866
212	1379	1858
213	1384	1850
214	1390	1843
215	1396	1836
216	1401	1827
217	1406	1820
218	1412	1811
219	1417	1803
220	1423	1796
221	1429	1790
222	1435	1782
223	1440	1774
224	1444	1765
225	1452	1761
226	1458	1753
227	1463	1745
228	1468	1737
229	1476	1732
230	1484	1728
231	1488	1719
232	1493	1711
233	1500	1705
234	1506	1699
235	1512	1691
236	1517	1684
237	1523	1676
238	1528	1669
239	1534	1662
240	1539	1654
241	1545	1647
242	1552	1641
243	1557	1633
244	1562	1626
245	1568	1619
246	1573	1612
247	1578	1604
248	1583	1596
249	1589	1589
250	1593	1581
251	1598	1573
252	1604	1566
253	1612	1562
254	1617	1554
255	1623	1547
256	1629	1541
257	1635	1533
258	1641	1527
259	1646	1519
260	1653	1513
261	1657	1506
262	1664	1499
263	1669	1492
264	1674	1485
265	1679	1477
266	1685	1471
267	1690	1463
268	1695	1456
269	1701	1449
270	1708	1443
271	1714	1437
272	1719	1429
273	1725	1423
274	1730	1416
275	1735	1408
276	1742	1402
277	1747	1395
278	1754	1389
279	1765	1387
280	1772	1381
281	1778	1375
282	1784	1368
283	1793	1363
284	1801	1358
285	1810	1355
286	1819	1350
287	1829	1346
288	1838	1342
289	1847	1337
290	1856	1333
291	1865	1329
292	1873	1323
293	1880	1317
294	1887	1311
295	1895	1306
296	1902	1300
297	1912	1296
298	1921	1291
299	1929	1286
300	1936	1280
301	1946	1276
302	1952	1269
303	1961	1264
304	1967	1257
305	1972	1250
306	1981	1245
307	1989	1240
308	1997	1234
309	2004	1228
310	2012	1222
311	2018	1216
312	2025	1210
313	2033	1204
314	2038	1197
315	2045	1191
316	2052	1184
317	2060	1179
318	2066	1172
319	2072	1165
320	2078	1159
321	2084	1152
322	2093	1147
323	2101	1141
324	2109	1135
325	2116	1129
326	2124	1124
327	2131	1117
328	2138	1111
329	2144	1104
330	2151	1098
331	2159	1092
332	2165	1086
333	2173	1080
334	2179	1073
335	2185	1066
336	2192	1060
337	2199	1054
338	2207	1048
339	2213	1041
340	2219	1034
341	2227	1028
342	2233	1022
343	2240	1016
344	2247	1009
345	2254	1003
346	2258	995
347	2265	989
348	2273	983
349	2279	976
350	2285	970
351	2291	963
352	2298	957
353	2305	950
354	2312	944
355	2320	938
356	2325	931
357	2331	924
358	2340	919
359	2347	912
360	2356	907
361	2365	901
362	2373	895
363	2379	888
364	2388	883
365	2395	877
366	2402	870
367	2409	864
368	2414	857
369	2422	851
370	2429	844
371	2437	838
372	2445	832
373	2452	826
374	2460	820
375	2468	814
376	2476	807
377	2483	801
378	2491	795
379	2498	789
380	2505	782
381	2511	775
382	2519	769
383	2524	762
384	2532	756
385	2539	749
386	2546	743
387	2552	736
388	2558	730
389	2566	723
390	2572	717
391	2578	710
392	2586	704
393	2595	698
394	2603	691
395	2610	685
396	2617	679
397	2624	672
398	2631	666
399	2640	660
400	2645	653
401	2652	646
402	2659	640
403	2664	633
404	2669	626
405	2675	619
406	2680	612
407	2686	605
408	2691	598
409	2696	591
410	2701	585
411	2708	578
412	2713	571
413	2720	565
414	2727	558
415	2733	551
416	2738	545
417	2747	538
418	2752	532
419	2759	525
420	2767	519
421	2774	512
422	2782	506
423	2788	499
424	2799	493
425	2805	487
426	2811	480
427	2817	474
428	2825	467
429	2832	461
430	2839	454
431	2847	448
432	2852	441
433	2860	434
434	2866	428
435	2874	421
436	2881	415
437	2887	408
438	2895	402
439	2904	396
440	2913	389
441	2926	384
442	2934	377
443	2941	370
444	2946	364
445	2954	357
446	2961	351
447	2967	344
448	2975	338
449	2983	331
450	2989	324
451	2994	318
452	3002	311
453	3009	304
454	3017	298
455	3023	291
456	3030	285
457	3037	278
458	3042	271
459	3049	265
460	3059	258
461	3069	252
462	3075	245
463	3082	239
464	3088	232
465	3094	225
466	3104	219
467	3115	213
468	3125	206
469	3136	200
470	3144	193
471	3153	187
472	3165	180
473	3174	174
474	3183	167
475	3188	160
476	3196	154
477	3203	147
478	3209	140
479	3217	134
480	3223	127
481	3231	120
482	3238	113
483	3245	107
484	3251	100
485	3256	93
486	3265	87
487	3272	80
488	3281	73
489	3287	67
490	3294	60
491	3300	53
492	3306	46
493	3353	40
494	3373	34
495	3383	27
496	3389	20
497	3395	13
498	3400	6
499	3406	0
