iter	Passed	Remaining
0	2	347
1	5	317
2	8	339
3	10	304
4	12	285
5	14	271
6	15	257
7	17	249
8	19	244
9	22	245
10	24	244
11	26	239
12	28	236
13	31	235
14	33	231
15	35	230
16	38	230
17	40	226
18	42	223
19	45	226
20	47	224
21	49	222
22	50	213
23	52	208
24	53	201
25	54	195
26	55	192
27	56	186
28	59	186
29	60	181
30	62	178
31	63	175
32	65	172
33	67	171
34	69	168
35	71	167
36	74	166
37	75	163
38	77	160
39	78	157
40	80	154
41	81	151
42	82	147
43	84	145
44	84	141
45	86	139
46	87	136
47	89	134
48	90	131
49	92	129
50	93	126
51	95	124
52	96	122
53	97	119
54	98	116
55	101	115
56	102	113
57	105	112
58	106	110
59	108	108
60	109	105
61	110	103
62	111	100
63	112	98
64	113	96
65	115	94
66	116	92
67	118	90
68	118	87
69	119	85
70	120	83
71	122	81
72	123	79
73	125	78
74	127	76
75	128	74
76	130	72
77	131	70
78	133	69
79	134	67
80	136	65
81	137	63
82	139	62
83	140	60
84	142	58
85	143	56
86	145	55
87	146	53
88	147	51
89	148	49
90	150	47
91	151	46
92	152	44
93	154	42
94	155	40
95	157	39
96	158	37
97	159	35
98	161	34
99	162	32
100	164	30
101	165	29
102	166	27
103	168	25
104	169	24
105	171	22
106	172	20
107	173	19
108	175	17
109	176	16
110	178	14
111	179	12
112	181	11
113	182	9
114	184	8
115	185	6
116	186	4
117	188	3
118	189	1
119	191	0
